Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
2000;Europa (Italia esclusa);Stephenson (75);9
2000;Europa (Italia esclusa);Quarto Oggiaro - Vialba - Musocco (76);239
2000;Europa (Italia esclusa);Bovisa (77);228
2000;Europa (Italia esclusa);Farini (78);69
2000;Europa (Italia esclusa);Dergano (79);241
2000;Europa (Italia esclusa);Affori (80);248
2000;Europa (Italia esclusa);Bovisasca (81);49
2000;Europa (Italia esclusa);Comasina (82);101
2000;Europa (Italia esclusa);Bruzzano (83);112
2000;Europa (Italia esclusa);Parco Nord (84);1
2000;Europa (Italia esclusa);Parco delle Abbazie (85);24
2000;Europa (Italia esclusa);Parco dei Navigli (86);26
2000;Europa (Italia esclusa);Assiano (87);71
2000;Europa (Italia esclusa);Parco Bosco in citta' (88);8
2000;Asia;Duomo (1);749
2000;Asia;Brera (2);588
2000;Asia;Giardini P.ta Venezia (3);9
2000;Asia;Guastalla (4);690
2000;Asia;Porta Vigentina - Porta Lodovica (5);393
2000;Asia;Porta Ticinese - Conca del Naviglio (6);893
2000;Asia;Magenta - S.Vittore (7);593
2000;Asia;Porta Garibaldi - Porta Nuova (9);320
2000;Asia;Stazione Centrale - Ponte Seveso (10);1200
2000;Asia;Isola (11);1189
2000;Asia;Maciachini - Maggiolina (12);952
2000;Asia;Greco - Segnano (13);493
2000;Asia;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);301
2000;Asia;Bicocca (15);60
2000;Asia;Gorla - Precotto (16);775
2000;Asia;Adriano (17);264
2000;Asia;Cimiano - Rottole - Q.re Feltre (18);541
2000;Asia;Padova - Turro - Crescenzago (19);1446
2000;Asia;Loreto - Casoretto - NoLo (20);2644
2000;Asia;Buenos Aires - Porta Venezia - Porta Monforte (21);2600
2000;Asia;Citta' studi (22);1365
2000;Asia;Lambrate - Ortica (23);447
2000;Asia;Parco Forlanini - Cavriano (24);17
2000;Asia;Corsica (25);584
2000;Asia;XXII Marzo (26);932
2000;Asia;Pta Romana (27);697
2000;Asia;Umbria - Molise - Calvairate (28);884
2000;Asia;Ortomercato (29);137
2000;Asia;Taliedo - Morsenchio - Q.re Forlanini (30);222
2000;Asia;Monlue' - Ponte Lambro (31);76
2000;Asia;Triulzo Superiore (32);64
2000;Asia;Rogoredo - Santa Giulia (33);80
2000;Asia;Chiaravalle (34);3
2000;Asia;Lodi - Corvetto (35);1008
2000;Asia;Scalo Romana (36);579
2000;Asia;Morivione (37);163
2000;Asia;Vigentino - Q.re Fatima (38);263
2000;Asia;Quintosole (39);8
2000;Asia;Ronchetto delle Rane (40);2
2000;Asia;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);78
2000;Asia;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);676
2000;Asia;Tibaldi (43);456
