"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"1999";"Giambellino (49)";"Europa (Italia esclusa)";355
"1999";"Giambellino (49)";"Asia";747
"1999";"Giambellino (49)";"Africa";900
"1999";"Giambellino (49)";"America";408
"1999";"Giambellino (49)";"Oceania";9
"1999";"Giambellino (49)";"Apolidi";1
"1999";"Porta Genova (50)";"Europa (Italia esclusa)";333
"1999";"Porta Genova (50)";"Asia";407
"1999";"Porta Genova (50)";"Africa";220
"1999";"Porta Genova (50)";"America";164
"1999";"Porta Genova (50)";"Oceania";5
"1999";"Porta Magenta (51)";"Europa (Italia esclusa)";800
"1999";"Porta Magenta (51)";"Asia";701
"1999";"Porta Magenta (51)";"Africa";177
"1999";"Porta Magenta (51)";"America";349
"1999";"Porta Magenta (51)";"Oceania";8
"1999";"Porta Magenta (51)";"Apolidi";2
"1999";"Bande Nere (52)";"Europa (Italia esclusa)";698
"1999";"Bande Nere (52)";"Asia";1825
"1999";"Bande Nere (52)";"Africa";605
"1999";"Bande Nere (52)";"America";456
"1999";"Bande Nere (52)";"Oceania";5
"1999";"Lorenteggio (53)";"Europa (Italia esclusa)";98
"1999";"Lorenteggio (53)";"Asia";254
"1999";"Lorenteggio (53)";"Africa";138
"1999";"Lorenteggio (53)";"America";76
"1999";"Lorenteggio (53)";"Oceania";2
"1999";"Muggiano (54)";"Europa (Italia esclusa)";7
"1999";"Muggiano (54)";"Asia";9
"1999";"Muggiano (54)";"Africa";14
"1999";"Muggiano (54)";"America";2
"1999";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Europa (Italia esclusa)";155
"1999";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Asia";395
"1999";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Africa";359
"1999";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"America";238
"1999";"Forze Armate (56)";"Europa (Italia esclusa)";223
"1999";"Forze Armate (56)";"Asia";384
"1999";"Forze Armate (56)";"Africa";452
"1999";"Forze Armate (56)";"America";191
"1999";"Forze Armate (56)";"Apolidi";1
"1999";"San Siro (57)";"Europa (Italia esclusa)";487
"1999";"San Siro (57)";"Asia";844
"1999";"San Siro (57)";"Africa";1314
"1999";"San Siro (57)";"America";324
"1999";"San Siro (57)";"Apolidi";1
"1999";"De Angeli - Monte Rosa (58)";"Europa (Italia esclusa)";741
"1999";"De Angeli - Monte Rosa (58)";"Asia";646
"1999";"De Angeli - Monte Rosa (58)";"Africa";247
"1999";"De Angeli - Monte Rosa (58)";"America";282
"1999";"De Angeli - Monte Rosa (58)";"Oceania";2
"1999";"Tre Torri (59)";"Europa (Italia esclusa)";81
"1999";"Tre Torri (59)";"Asia";44
"1999";"Tre Torri (59)";"Africa";7
"1999";"Tre Torri (59)";"America";18
"1999";"Stadio - Ippodromi (60)";"Europa (Italia esclusa)";840
"1999";"Stadio - Ippodromi (60)";"Asia";322
"1999";"Stadio - Ippodromi (60)";"Africa";111
"1999";"Stadio - Ippodromi (60)";"America";144
"1999";"Quarto Cagnino (61)";"Europa (Italia esclusa)";36
"1999";"Quarto Cagnino (61)";"Asia";116
"1999";"Quarto Cagnino (61)";"Africa";96
"1999";"Quarto Cagnino (61)";"America";39
"1999";"Quinto Romano (62)";"Europa (Italia esclusa)";25
"1999";"Quinto Romano (62)";"Asia";35
"1999";"Quinto Romano (62)";"Africa";62
"1999";"Quinto Romano (62)";"America";30
"1999";"Figino (63)";"Europa (Italia esclusa)";11
"1999";"Figino (63)";"Asia";18
"1999";"Figino (63)";"Africa";19
"1999";"Figino (63)";"America";9
"1999";"Trenno (64)";"Europa (Italia esclusa)";16
"1999";"Trenno (64)";"Asia";18
"1999";"Trenno (64)";"Africa";36
"1999";"Trenno (64)";"America";13
"1999";"Trenno (64)";"Oceania";1
"1999";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Europa (Italia esclusa)";251
"1999";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Asia";214
"1999";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Africa";216
"1999";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"America";141
"1999";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Oceania";5
"1999";"QT 8 (66)";"Europa (Italia esclusa)";80
"1999";"QT 8 (66)";"Asia";62
"1999";"QT 8 (66)";"Africa";27
"1999";"QT 8 (66)";"America";25
"1999";"Portello (67)";"Europa (Italia esclusa)";210
"1999";"Portello (67)";"Asia";209
"1999";"Portello (67)";"Africa";85
"1999";"Portello (67)";"America";100
"1999";"Pagano (68)";"Europa (Italia esclusa)";644
"1999";"Pagano (68)";"Asia";567
"1999";"Pagano (68)";"Africa";152
"1999";"Pagano (68)";"America";264
"1999";"Pagano (68)";"Oceania";4
"1999";"Pagano (68)";"Apolidi";1
"1999";"Sarpi (69)";"Europa (Italia esclusa)";786
"1999";"Sarpi (69)";"Asia";1724
"1999";"Sarpi (69)";"Africa";551
"1999";"Sarpi (69)";"America";410
"1999";"Sarpi (69)";"Oceania";7
"1999";"Sarpi (69)";"Apolidi";4
"1999";"Ghisolfa (70)";"Europa (Italia esclusa)";304
"1999";"Ghisolfa (70)";"Asia";663
"1999";"Ghisolfa (70)";"Africa";236
"1999";"Ghisolfa (70)";"America";205
"1999";"Villapizzone - Cagnola - Boldinasco (71)";"Europa (Italia esclusa)";491
"1999";"Villapizzone - Cagnola - Boldinasco (71)";"Asia";1035
"1999";"Villapizzone - Cagnola - Boldinasco (71)";"Africa";920
"1999";"Villapizzone - Cagnola - Boldinasco (71)";"America";476
"1999";"Villapizzone - Cagnola - Boldinasco (71)";"Oceania";3
"1999";"Maggiore - Musocco - Certosa (72)";"Europa (Italia esclusa)";45
"1999";"Maggiore - Musocco - Certosa (72)";"Asia";38
"1999";"Maggiore - Musocco - Certosa (72)";"Africa";78
"1999";"Maggiore - Musocco - Certosa (72)";"America";18
"1999";"Maggiore - Musocco - Certosa (72)";"Oceania";1
"1999";"Roserio (74)";"Europa (Italia esclusa)";3
"1999";"Roserio (74)";"Africa";1
"1999";"Roserio (74)";"America";3
"1999";"Stephenson (75)";"Europa (Italia esclusa)";8
"1999";"Stephenson (75)";"Asia";1
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"Europa (Italia esclusa)";185
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"Asia";274
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"Africa";755
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"America";181
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"Oceania";2
"1999";"Quarto Oggiaro - Vialba - Musocco (76)";"Apolidi";1
"1999";"Bovisa (77)";"Europa (Italia esclusa)";194
"1999";"Bovisa (77)";"Asia";532
"1999";"Bovisa (77)";"Africa";426
"1999";"Bovisa (77)";"America";117
"1999";"Farini (78)";"Europa (Italia esclusa)";64
"1999";"Farini (78)";"Asia";122
"1999";"Farini (78)";"Africa";205
"1999";"Farini (78)";"America";55
"1999";"Dergano (79)";"Europa (Italia esclusa)";196
"1999";"Dergano (79)";"Asia";680
"1999";"Dergano (79)";"Africa";544
"1999";"Dergano (79)";"America";249
"1999";"Dergano (79)";"Oceania";3
"1999";"Affori (80)";"Europa (Italia esclusa)";204
"1999";"Affori (80)";"Asia";560
"1999";"Affori (80)";"Africa";427
"1999";"Affori (80)";"America";221
"1999";"Bovisasca (81)";"Europa (Italia esclusa)";43
"1999";"Bovisasca (81)";"Asia";68
"1999";"Bovisasca (81)";"Africa";111
"1999";"Bovisasca (81)";"America";40
"1999";"Bovisasca (81)";"Apolidi";1
"1999";"Comasina (82)";"Europa (Italia esclusa)";78
"1999";"Comasina (82)";"Asia";82
"1999";"Comasina (82)";"Africa";124
"1999";"Comasina (82)";"America";55
"1999";"Bruzzano (83)";"Europa (Italia esclusa)";92
"1999";"Bruzzano (83)";"Asia";129
"1999";"Bruzzano (83)";"Africa";162
"1999";"Bruzzano (83)";"America";71
"1999";"Bruzzano (83)";"Oceania";2
"1999";"Parco Nord (84)";"Europa (Italia esclusa)";1
"1999";"Parco Nord (84)";"Asia";31
"1999";"Parco Nord (84)";"Africa";7
"1999";"Parco delle Abbazie (85)";"Europa (Italia esclusa)";13
"1999";"Parco delle Abbazie (85)";"Africa";19
"1999";"Parco delle Abbazie (85)";"America";2
"1999";"Parco dei Navigli (86)";"Europa (Italia esclusa)";17
"1999";"Parco dei Navigli (86)";"Africa";10
"1999";"Parco dei Navigli (86)";"America";5
"1999";"Assiano (87)";"Europa (Italia esclusa)";64
"1999";"Assiano (87)";"Africa";5
"1999";"Assiano (87)";"America";1
"1999";"Parco Bosco in citta' (88)";"Europa (Italia esclusa)";5
"1999";"Parco Bosco in citta' (88)";"Asia";3
"1999";"Parco Bosco in citta' (88)";"Africa";100
"1999";"Parco Bosco in citta' (88)";"America";2
"2000";"Duomo (1)";"Europa (Italia esclusa)";876
"2000";"Duomo (1)";"Asia";749
"2000";"Duomo (1)";"Africa";257
"2000";"Duomo (1)";"America";431
"2000";"Duomo (1)";"Oceania";5
"2000";"Duomo (1)";"Apolidi";5
"2000";"Brera (2)";"n.d.";2
