"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Finlandia";"Pagano (68)";1
"Finlandia";"Sarpi (69)";6
"Finlandia";"Ghisolfa (70)";1
"Finlandia";"Villapizzone - Cagnola - Boldinasco (71)";5
"Finlandia";"Maggiore - Musocco - Certosa (72)";1
"Finlandia";"Bovisa (77)";1
"Finlandia";"Dergano (79)";2
"Finlandia";"Comasina (82)";1
"Francia";"Duomo (1)";222
"Francia";"Brera (2)";211
"Francia";"Guastalla (4)";109
"Francia";"Porta Vigentina - Porta Lodovica (5)";58
"Francia";"Porta Ticinese - Conca del Naviglio (6)";111
"Francia";"Magenta - S.Vittore (7)";247
"Francia";"Porta Garibaldi - Porta Nuova (9)";36
"Francia";"Stazione Centrale - Ponte Seveso (10)";64
"Francia";"Isola (11)";83
"Francia";"Maciachini - Maggiolina (12)";57
"Francia";"Greco - Segnano (13)";15
"Francia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";25
"Francia";"Bicocca (15)";4
"Francia";"Gorla - Precotto (16)";29
"Francia";"Adriano (17)";9
"Francia";"Cimiano - Rottole - Q.re Feltre (18)";18
"Francia";"Padova - Turro - Crescenzago (19)";40
"Francia";"Loreto - Casoretto - NoLo (20)";108
"Francia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";274
"Francia";"Citta' studi (22)";95
"Francia";"Lambrate - Ortica (23)";9
"Francia";"Parco Forlanini - Cavriano (24)";3
"Francia";"Corsica (25)";42
"Francia";"XXII Marzo (26)";157
"Francia";"Pta Romana (27)";76
"Francia";"Umbria - Molise - Calvairate (28)";54
"Francia";"Ortomercato (29)";3
"Francia";"Taliedo - Morsenchio - Q.re Forlanini (30)";6
"Francia";"Monlue' - Ponte Lambro (31)";4
"Francia";"Triulzo Superiore (32)";1
"Francia";"Rogoredo - Santa Giulia (33)";9
"Francia";"Lodi - Corvetto (35)";33
"Francia";"Scalo Romana (36)";17
"Francia";"Morivione (37)";13
"Francia";"Vigentino - Q.re Fatima (38)";14
"Francia";"Quintosole (39)";1
"Francia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";11
"Francia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";34
"Francia";"Tibaldi (43)";27
"Francia";"Porta Ticinese - Conchetta (44)";62
"Francia";"Moncucco - San Cristoforo (45)";25
"Francia";"Barona (46)";10
"Francia";"Cantalupa (47)";3
"Francia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";24
"Francia";"Giambellino (49)";60
"Francia";"Porta Genova (50)";73
"Francia";"Porta Magenta (51)";253
"Francia";"Bande Nere (52)";112
"Francia";"Lorenteggio (53)";18
"Francia";"Muggiano (54)";1
"Francia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";13
"Francia";"Forze Armate (56)";13
"Francia";"San Siro (57)";109
"Francia";"De Angeli - Monte Rosa (58)";341
"Francia";"Tre Torri (59)";75
"Francia";"Stadio - Ippodromi (60)";538
"Francia";"Quarto Cagnino (61)";8
"Francia";"Quinto Romano (62)";7
"Francia";"Trenno (64)";4
"Francia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";43
"Francia";"QT 8 (66)";7
"Francia";"Portello (67)";42
"Francia";"Pagano (68)";246
"Francia";"Sarpi (69)";212
"Francia";"Ghisolfa (70)";55
"Francia";"Villapizzone - Cagnola - Boldinasco (71)";60
"Francia";"Maggiore - Musocco - Certosa (72)";9
"Francia";"Cascina Merlata (73)";2
"Francia";"Quarto Oggiaro - Vialba - Musocco (76)";14
"Francia";"Bovisa (77)";19
"Francia";"Farini (78)";15
"Francia";"Dergano (79)";39
"Francia";"Affori (80)";14
"Francia";"Comasina (82)";2
"Francia";"Bruzzano (83)";5
"Germania";"Duomo (1)";87
"Germania";"Brera (2)";133
"Germania";"Guastalla (4)";59
"Germania";"Porta Vigentina - Porta Lodovica (5)";47
"Germania";"Porta Ticinese - Conca del Naviglio (6)";35
"Germania";"Magenta - S.Vittore (7)";68
"Germania";"Porta Garibaldi - Porta Nuova (9)";33
"Germania";"Stazione Centrale - Ponte Seveso (10)";45
"Germania";"Isola (11)";72
"Germania";"Maciachini - Maggiolina (12)";32
"Germania";"Greco - Segnano (13)";16
"Germania";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";18
"Germania";"Bicocca (15)";6
