"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Germania";"Lorenteggio (53)";8
"Germania";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";11
"Germania";"Forze Armate (56)";6
"Germania";"San Siro (57)";19
"Germania";"De Angeli - Monte Rosa (58)";63
"Germania";"Tre Torri (59)";20
"Germania";"Stadio - Ippodromi (60)";36
"Germania";"Quarto Cagnino (61)";9
"Germania";"Quinto Romano (62)";1
"Germania";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";11
"Germania";"QT 8 (66)";9
"Germania";"Portello (67)";33
"Germania";"Pagano (68)";90
"Germania";"Sarpi (69)";166
"Germania";"Ghisolfa (70)";32
"Germania";"Villapizzone - Cagnola - Boldinasco (71)";37
"Germania";"Maggiore - Musocco - Certosa (72)";8
"Germania";"Cascina Merlata (73)";1
"Germania";"Quarto Oggiaro - Vialba - Musocco (76)";12
"Germania";"Bovisa (77)";11
"Germania";"Farini (78)";6
"Germania";"Dergano (79)";16
"Germania";"Affori (80)";15
"Germania";"Bovisasca (81)";2
"Germania";"Comasina (82)";2
"Germania";"Bruzzano (83)";2
"Regno Unito";"Duomo (1)";82
"Regno Unito";"Brera (2)";112
"Regno Unito";"Giardini P.ta Venezia (3)";3
"Regno Unito";"Guastalla (4)";91
"Regno Unito";"Porta Vigentina - Porta Lodovica (5)";32
"Regno Unito";"Porta Ticinese - Conca del Naviglio (6)";60
"Regno Unito";"Magenta - S.Vittore (7)";71
"Regno Unito";"Porta Garibaldi - Porta Nuova (9)";28
"Regno Unito";"Stazione Centrale - Ponte Seveso (10)";51
"Regno Unito";"Isola (11)";75
"Regno Unito";"Maciachini - Maggiolina (12)";55
"Regno Unito";"Greco - Segnano (13)";11
"Regno Unito";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";18
"Regno Unito";"Bicocca (15)";10
"Regno Unito";"Gorla - Precotto (16)";28
"Regno Unito";"Adriano (17)";9
"Regno Unito";"Cimiano - Rottole - Q.re Feltre (18)";28
"Regno Unito";"Padova - Turro - Crescenzago (19)";38
"Regno Unito";"Loreto - Casoretto - NoLo (20)";59
"Regno Unito";"Buenos Aires - Porta Venezia - Porta Monforte (21)";202
"Regno Unito";"Citta' studi (22)";85
"Regno Unito";"Lambrate - Ortica (23)";20
"Regno Unito";"Parco Forlanini - Cavriano (24)";3
"Regno Unito";"Corsica (25)";28
"Regno Unito";"XXII Marzo (26)";83
"Regno Unito";"Pta Romana (27)";67
"Regno Unito";"Umbria - Molise - Calvairate (28)";28
"Regno Unito";"Ortomercato (29)";3
"Regno Unito";"Taliedo - Morsenchio - Q.re Forlanini (30)";15
"Regno Unito";"Monlue' - Ponte Lambro (31)";1
"Regno Unito";"Rogoredo - Santa Giulia (33)";9
"Regno Unito";"Chiaravalle (34)";1
"Regno Unito";"Lodi - Corvetto (35)";30
"Regno Unito";"Scalo Romana (36)";19
"Regno Unito";"Morivione (37)";14
"Regno Unito";"Vigentino - Q.re Fatima (38)";21
"Regno Unito";"Ronchetto delle Rane (40)";1
"Regno Unito";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";4
"Regno Unito";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";25
"Regno Unito";"Tibaldi (43)";15
"Regno Unito";"Porta Ticinese - Conchetta (44)";49
"Regno Unito";"Moncucco - San Cristoforo (45)";20
"Regno Unito";"Barona (46)";7
"Regno Unito";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";12
"Regno Unito";"Giambellino (49)";30
"Regno Unito";"Porta Genova (50)";40
"Regno Unito";"Porta Magenta (51)";64
"Regno Unito";"Bande Nere (52)";58
"Regno Unito";"Lorenteggio (53)";12
"Regno Unito";"Muggiano (54)";3
"Regno Unito";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";11
"Regno Unito";"Forze Armate (56)";12
"Regno Unito";"San Siro (57)";22
"Regno Unito";"De Angeli - Monte Rosa (58)";44
"Regno Unito";"Tre Torri (59)";21
"Regno Unito";"Stadio - Ippodromi (60)";26
"Regno Unito";"Quarto Cagnino (61)";10
"Regno Unito";"Quinto Romano (62)";2
"Regno Unito";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";15
"Regno Unito";"QT 8 (66)";5
"Regno Unito";"Portello (67)";24
"Regno Unito";"Pagano (68)";63
"Regno Unito";"Sarpi (69)";93
"Regno Unito";"Ghisolfa (70)";30
"Regno Unito";"Villapizzone - Cagnola - Boldinasco (71)";40
"Regno Unito";"Maggiore - Musocco - Certosa (72)";7
"Regno Unito";"Stephenson (75)";1
"Regno Unito";"Quarto Oggiaro - Vialba - Musocco (76)";4
"Regno Unito";"Bovisa (77)";6
"Regno Unito";"Farini (78)";5
"Regno Unito";"Dergano (79)";15
"Regno Unito";"Affori (80)";23
"Regno Unito";"Bruzzano (83)";1
"Grecia";"Duomo (1)";24
"Grecia";"Brera (2)";40
"Grecia";"Guastalla (4)";12
"Grecia";"Porta Vigentina - Porta Lodovica (5)";21
"Grecia";"Porta Ticinese - Conca del Naviglio (6)";17
"Grecia";"Magenta - S.Vittore (7)";16
"Grecia";"Porta Garibaldi - Porta Nuova (9)";7
"Grecia";"Stazione Centrale - Ponte Seveso (10)";13
"Grecia";"Isola (11)";15
"Grecia";"Maciachini - Maggiolina (12)";11
"Grecia";"Greco - Segnano (13)";9
"Grecia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";10
"Grecia";"Bicocca (15)";10
"Grecia";"Gorla - Precotto (16)";20
"Grecia";"Adriano (17)";7
"Grecia";"Cimiano - Rottole - Q.re Feltre (18)";7
"Grecia";"Padova - Turro - Crescenzago (19)";14
"Grecia";"Loreto - Casoretto - NoLo (20)";24
"Grecia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";51
"Grecia";"Citta' studi (22)";29
"Grecia";"Lambrate - Ortica (23)";5
"Grecia";"Corsica (25)";13
"Grecia";"XXII Marzo (26)";27
"Grecia";"Pta Romana (27)";23
"Grecia";"Umbria - Molise - Calvairate (28)";9
"Grecia";"Ortomercato (29)";1
"Grecia";"Taliedo - Morsenchio - Q.re Forlanini (30)";10
"Grecia";"Monlue' - Ponte Lambro (31)";1
"Grecia";"Triulzo Superiore (32)";1
"Grecia";"Rogoredo - Santa Giulia (33)";6
"Grecia";"Lodi - Corvetto (35)";9
"Grecia";"Scalo Romana (36)";6
"Grecia";"Morivione (37)";6
"Grecia";"Vigentino - Q.re Fatima (38)";6
"Grecia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Grecia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Grecia";"Tibaldi (43)";9
"Grecia";"Porta Ticinese - Conchetta (44)";15
"Grecia";"Moncucco - San Cristoforo (45)";4
"Grecia";"Barona (46)";2
"Grecia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Grecia";"Giambellino (49)";8
"Grecia";"Porta Genova (50)";19
"Grecia";"Porta Magenta (51)";25
"Grecia";"Bande Nere (52)";21
"Grecia";"Lorenteggio (53)";8
"Grecia";"Muggiano (54)";2
"Grecia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";5
"Grecia";"Forze Armate (56)";3
"Grecia";"San Siro (57)";7
"Grecia";"De Angeli - Monte Rosa (58)";24
"Grecia";"Tre Torri (59)";3
"Grecia";"Stadio - Ippodromi (60)";22
"Grecia";"Quarto Cagnino (61)";4
"Grecia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4
"Grecia";"QT 8 (66)";1
"Grecia";"Portello (67)";4
"Grecia";"Pagano (68)";21
"Grecia";"Sarpi (69)";26
"Grecia";"Ghisolfa (70)";5
"Grecia";"Villapizzone - Cagnola - Boldinasco (71)";19
"Grecia";"Maggiore - Musocco - Certosa (72)";1
"Grecia";"Quarto Oggiaro - Vialba - Musocco (76)";7
"Grecia";"Bovisa (77)";8
"Grecia";"Farini (78)";3
"Grecia";"Dergano (79)";5
"Grecia";"Affori (80)";6
"Grecia";"Bovisasca (81)";1
"Grecia";"Comasina (82)";2
"Grecia";"Bruzzano (83)";1
"Irlanda";"Duomo (1)";8
"Irlanda";"Brera (2)";15
"Irlanda";"Guastalla (4)";4
"Irlanda";"Porta Vigentina - Porta Lodovica (5)";8
"Irlanda";"Porta Ticinese - Conca del Naviglio (6)";10
"Irlanda";"Magenta - S.Vittore (7)";10
"Irlanda";"Porta Garibaldi - Porta Nuova (9)";1
"Irlanda";"Stazione Centrale - Ponte Seveso (10)";4
"Irlanda";"Isola (11)";12
"Irlanda";"Maciachini - Maggiolina (12)";5
"Irlanda";"Greco - Segnano (13)";3
"Irlanda";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";5
"Irlanda";"Bicocca (15)";1
"Irlanda";"Gorla - Precotto (16)";3
"Irlanda";"Adriano (17)";2
"Irlanda";"Cimiano - Rottole - Q.re Feltre (18)";3
"Irlanda";"Padova - Turro - Crescenzago (19)";5
"Irlanda";"Loreto - Casoretto - NoLo (20)";10
"Irlanda";"Buenos Aires - Porta Venezia - Porta Monforte (21)";27
"Irlanda";"Citta' studi (22)";7
"Irlanda";"Lambrate - Ortica (23)";3
"Irlanda";"Parco Forlanini - Cavriano (24)";1
"Irlanda";"Corsica (25)";2
"Irlanda";"XXII Marzo (26)";9
"Irlanda";"Pta Romana (27)";7
"Irlanda";"Umbria - Molise - Calvairate (28)";5
"Irlanda";"Taliedo - Morsenchio - Q.re Forlanini (30)";2
"Irlanda";"Lodi - Corvetto (35)";11
"Irlanda";"Scalo Romana (36)";2
"Irlanda";"Morivione (37)";4
"Irlanda";"Vigentino - Q.re Fatima (38)";5
"Irlanda";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2
"Irlanda";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Irlanda";"Tibaldi (43)";1
"Irlanda";"Porta Ticinese - Conchetta (44)";12
"Irlanda";"Moncucco - San Cristoforo (45)";1
"Irlanda";"Barona (46)";1
"Irlanda";"Giambellino (49)";7
"Irlanda";"Porta Genova (50)";6
"Irlanda";"Porta Magenta (51)";6
"Irlanda";"Bande Nere (52)";9
"Irlanda";"Lorenteggio (53)";1
"Irlanda";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Irlanda";"Forze Armate (56)";2
"Irlanda";"San Siro (57)";2
"Irlanda";"De Angeli - Monte Rosa (58)";14
"Irlanda";"Tre Torri (59)";3
"Irlanda";"Stadio - Ippodromi (60)";5
"Irlanda";"Figino (63)";2
"Irlanda";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";5
"Irlanda";"Portello (67)";3
"Irlanda";"Pagano (68)";9
"Irlanda";"Sarpi (69)";16
"Irlanda";"Ghisolfa (70)";2
"Irlanda";"Villapizzone - Cagnola - Boldinasco (71)";1
"Irlanda";"Maggiore - Musocco - Certosa (72)";1
"Irlanda";"Bovisa (77)";3
"Irlanda";"Farini (78)";1
"Irlanda";"Dergano (79)";4
"Irlanda";"Affori (80)";2
"Islanda";"Brera (2)";2
"Islanda";"Guastalla (4)";1
"Islanda";"Porta Vigentina - Porta Lodovica (5)";4
"Islanda";"Porta Ticinese - Conca del Naviglio (6)";1
"Islanda";"Stazione Centrale - Ponte Seveso (10)";2
"Islanda";"Maciachini - Maggiolina (12)";1
"Islanda";"Cimiano - Rottole - Q.re Feltre (18)";1
"Islanda";"Padova - Turro - Crescenzago (19)";2
"Islanda";"Citta' studi (22)";1
"Islanda";"Pta Romana (27)";1
"Islanda";"Umbria - Molise - Calvairate (28)";1
"Islanda";"Lodi - Corvetto (35)";1
"Islanda";"Moncucco - San Cristoforo (45)";3
"Islanda";"Lorenteggio (53)";2
"Islanda";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Islanda";"Pagano (68)";4
"Islanda";"Sarpi (69)";1
"Jugoslavia (Serbia-Montenegro)";"Duomo (1)";1
"Jugoslavia (Serbia-Montenegro)";"Porta Ticinese - Conca del Naviglio (6)";1
"Jugoslavia (Serbia-Montenegro)";"Porta Garibaldi - Porta Nuova (9)";1
"Jugoslavia (Serbia-Montenegro)";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3
"Jugoslavia (Serbia-Montenegro)";"Citta' studi (22)";3
"Jugoslavia (Serbia-Montenegro)";"Lambrate - Ortica (23)";1
"Jugoslavia (Serbia-Montenegro)";"Corsica (25)";1
"Jugoslavia (Serbia-Montenegro)";"Porta Ticinese - Conchetta (44)";1
"Jugoslavia (Serbia-Montenegro)";"Cantalupa (47)";1
"Jugoslavia (Serbia-Montenegro)";"Giambellino (49)";1
"Jugoslavia (Serbia-Montenegro)";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Jugoslavia (Serbia-Montenegro)";"Tre Torri (59)";1
"Jugoslavia (Serbia-Montenegro)";"Ghisolfa (70)";1
"Jugoslavia (Serbia-Montenegro)";"Affori (80)";1
"Liechtenstein";"Duomo (1)";3
"Liechtenstein";"Ghisolfa (70)";1
"Lussemburgo";"Brera (2)";2
"Lussemburgo";"Guastalla (4)";1
"Lussemburgo";"Porta Ticinese - Conca del Naviglio (6)";1
"Lussemburgo";"Magenta - S.Vittore (7)";1
"Lussemburgo";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Lussemburgo";"Citta' studi (22)";1
"Lussemburgo";"Umbria - Molise - Calvairate (28)";2
"Lussemburgo";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Lussemburgo";"Tibaldi (43)";1
"Lussemburgo";"Moncucco - San Cristoforo (45)";1
"Lussemburgo";"Porta Magenta (51)";1
"Lussemburgo";"De Angeli - Monte Rosa (58)";1
"Lussemburgo";"Pagano (68)";2
"Lussemburgo";"Sarpi (69)";1
"Lussemburgo";"Villapizzone - Cagnola - Boldinasco (71)";2
"Lussemburgo";"Maggiore - Musocco - Certosa (72)";1
"Malta";"Duomo (1)";5
"Malta";"Brera (2)";3
"Malta";"Guastalla (4)";3
"Malta";"Porta Vigentina - Porta Lodovica (5)";4
"Malta";"Porta Ticinese - Conca del Naviglio (6)";1
"Malta";"Magenta - S.Vittore (7)";3
"Malta";"Porta Garibaldi - Porta Nuova (9)";5
"Malta";"Isola (11)";1
"Malta";"Bicocca (15)";1
"Malta";"Gorla - Precotto (16)";2
"Malta";"Padova - Turro - Crescenzago (19)";1
"Malta";"Buenos Aires - Porta Venezia - Porta Monforte (21)";5
"Malta";"Umbria - Molise - Calvairate (28)";1
"Malta";"Rogoredo - Santa Giulia (33)";1
"Malta";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Malta";"Tibaldi (43)";2
"Malta";"Moncucco - San Cristoforo (45)";1
"Malta";"Porta Magenta (51)";1
"Malta";"Bande Nere (52)";1
"Malta";"De Angeli - Monte Rosa (58)";1
"Malta";"QT 8 (66)";2
"Malta";"Pagano (68)";2
"Norvegia";"Duomo (1)";4
"Norvegia";"Brera (2)";3
"Norvegia";"Guastalla (4)";1
"Norvegia";"Porta Vigentina - Porta Lodovica (5)";4
"Norvegia";"Porta Ticinese - Conca del Naviglio (6)";4
"Norvegia";"Magenta - S.Vittore (7)";5
"Norvegia";"Porta Garibaldi - Porta Nuova (9)";2
"Norvegia";"Isola (11)";4
"Norvegia";"Maciachini - Maggiolina (12)";1
"Norvegia";"Bicocca (15)";2
"Norvegia";"Gorla - Precotto (16)";1
"Norvegia";"Adriano (17)";2
"Norvegia";"Padova - Turro - Crescenzago (19)";3
"Norvegia";"Loreto - Casoretto - NoLo (20)";3
"Norvegia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";11
"Norvegia";"Citta' studi (22)";3
"Norvegia";"XXII Marzo (26)";3
"Norvegia";"Pta Romana (27)";4
"Norvegia";"Umbria - Molise - Calvairate (28)";1
"Norvegia";"Monlue' - Ponte Lambro (31)";1
"Norvegia";"Rogoredo - Santa Giulia (33)";1
"Norvegia";"Lodi - Corvetto (35)";1
"Norvegia";"Tibaldi (43)";1
"Norvegia";"Porta Ticinese - Conchetta (44)";1
"Norvegia";"Moncucco - San Cristoforo (45)";1
"Norvegia";"Giambellino (49)";3
"Norvegia";"Porta Genova (50)";1
"Norvegia";"Porta Magenta (51)";3
"Norvegia";"Bande Nere (52)";1
"Norvegia";"Lorenteggio (53)";1
"Norvegia";"De Angeli - Monte Rosa (58)";3
"Norvegia";"Portello (67)";1
"Norvegia";"Sarpi (69)";5
"Norvegia";"Villapizzone - Cagnola - Boldinasco (71)";1
"Norvegia";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Norvegia";"Affori (80)";2
"Norvegia";"Parco Bosco in citta' (88)";1
"Paesi Bassi";"Duomo (1)";13
"Paesi Bassi";"Brera (2)";27
"Paesi Bassi";"Guastalla (4)";21
"Paesi Bassi";"Porta Vigentina - Porta Lodovica (5)";7
"Paesi Bassi";"Porta Ticinese - Conca del Naviglio (6)";11
"Paesi Bassi";"Magenta - S.Vittore (7)";29
"Paesi Bassi";"Porta Garibaldi - Porta Nuova (9)";7
"Paesi Bassi";"Stazione Centrale - Ponte Seveso (10)";11
"Paesi Bassi";"Isola (11)";15
"Paesi Bassi";"Maciachini - Maggiolina (12)";11
"Paesi Bassi";"Greco - Segnano (13)";3
"Paesi Bassi";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";2
"Paesi Bassi";"Bicocca (15)";3
"Paesi Bassi";"Gorla - Precotto (16)";2
"Paesi Bassi";"Adriano (17)";2
"Paesi Bassi";"Cimiano - Rottole - Q.re Feltre (18)";4
"Paesi Bassi";"Padova - Turro - Crescenzago (19)";11
"Paesi Bassi";"Loreto - Casoretto - NoLo (20)";12
"Paesi Bassi";"Buenos Aires - Porta Venezia - Porta Monforte (21)";63
"Paesi Bassi";"Citta' studi (22)";13
"Paesi Bassi";"Lambrate - Ortica (23)";1
"Paesi Bassi";"Parco Forlanini - Cavriano (24)";2
"Paesi Bassi";"Corsica (25)";4
"Paesi Bassi";"XXII Marzo (26)";14
"Paesi Bassi";"Pta Romana (27)";9
"Paesi Bassi";"Umbria - Molise - Calvairate (28)";5
"Paesi Bassi";"Ortomercato (29)";1
"Paesi Bassi";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Paesi Bassi";"Triulzo Superiore (32)";1
"Paesi Bassi";"Rogoredo - Santa Giulia (33)";3
"Paesi Bassi";"Lodi - Corvetto (35)";4
"Paesi Bassi";"Scalo Romana (36)";2
"Paesi Bassi";"Morivione (37)";1
"Paesi Bassi";"Vigentino - Q.re Fatima (38)";3
"Paesi Bassi";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2
"Paesi Bassi";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";7
"Paesi Bassi";"Tibaldi (43)";6
"Paesi Bassi";"Porta Ticinese - Conchetta (44)";18
"Paesi Bassi";"Moncucco - San Cristoforo (45)";2
"Paesi Bassi";"Barona (46)";1
"Paesi Bassi";"Cantalupa (47)";1
"Paesi Bassi";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Paesi Bassi";"Giambellino (49)";2
"Paesi Bassi";"Porta Genova (50)";6
"Paesi Bassi";"Porta Magenta (51)";21
"Paesi Bassi";"Bande Nere (52)";11
"Paesi Bassi";"Lorenteggio (53)";3
"Paesi Bassi";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";10
"Paesi Bassi";"Forze Armate (56)";1
"Paesi Bassi";"San Siro (57)";3
"Paesi Bassi";"De Angeli - Monte Rosa (58)";23
"Paesi Bassi";"Tre Torri (59)";10
"Paesi Bassi";"Stadio - Ippodromi (60)";18
"Paesi Bassi";"Quarto Cagnino (61)";2
"Paesi Bassi";"Quinto Romano (62)";1
"Paesi Bassi";"Trenno (64)";2
"Paesi Bassi";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";9
"Paesi Bassi";"QT 8 (66)";1
"Paesi Bassi";"Portello (67)";11
"Paesi Bassi";"Pagano (68)";18
"Paesi Bassi";"Sarpi (69)";21
"Paesi Bassi";"Ghisolfa (70)";5
"Paesi Bassi";"Villapizzone - Cagnola - Boldinasco (71)";5
"Paesi Bassi";"Maggiore - Musocco - Certosa (72)";7
"Paesi Bassi";"Bovisa (77)";6
"Paesi Bassi";"Farini (78)";4
"Paesi Bassi";"Dergano (79)";5
"Paesi Bassi";"Affori (80)";4
"Paesi Bassi";"Bovisasca (81)";1
"Polonia";"Duomo (1)";26
"Polonia";"Brera (2)";30
"Polonia";"Guastalla (4)";15
"Polonia";"Porta Vigentina - Porta Lodovica (5)";12
"Polonia";"Porta Ticinese - Conca del Naviglio (6)";14
"Polonia";"Magenta - S.Vittore (7)";15
"Polonia";"Porta Garibaldi - Porta Nuova (9)";12
"Polonia";"Stazione Centrale - Ponte Seveso (10)";26
"Polonia";"Isola (11)";18
"Polonia";"Maciachini - Maggiolina (12)";20
"Polonia";"Greco - Segnano (13)";15
"Polonia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";29
"Polonia";"Bicocca (15)";11
"Polonia";"Gorla - Precotto (16)";34
"Polonia";"Adriano (17)";15
"Polonia";"Cimiano - Rottole - Q.re Feltre (18)";21
"Polonia";"Padova - Turro - Crescenzago (19)";34
"Polonia";"Loreto - Casoretto - NoLo (20)";36
"Polonia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";61
"Polonia";"Citta' studi (22)";40
"Polonia";"Lambrate - Ortica (23)";12
"Polonia";"Parco Forlanini - Cavriano (24)";1
"Polonia";"Corsica (25)";19
"Polonia";"XXII Marzo (26)";25
"Polonia";"Pta Romana (27)";13
"Polonia";"Umbria - Molise - Calvairate (28)";17
"Polonia";"Ortomercato (29)";3
"Polonia";"Taliedo - Morsenchio - Q.re Forlanini (30)";16
"Polonia";"Monlue' - Ponte Lambro (31)";7
"Polonia";"Triulzo Superiore (32)";2
"Polonia";"Rogoredo - Santa Giulia (33)";9
"Polonia";"Chiaravalle (34)";2
"Polonia";"Lodi - Corvetto (35)";36
"Polonia";"Scalo Romana (36)";12
"Polonia";"Morivione (37)";5
"Polonia";"Vigentino - Q.re Fatima (38)";16
"Polonia";"Quintosole (39)";1
"Polonia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";11
"Polonia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";34
"Polonia";"Tibaldi (43)";13
"Polonia";"Porta Ticinese - Conchetta (44)";17
"Polonia";"Moncucco - San Cristoforo (45)";17
"Polonia";"Barona (46)";12
"Polonia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";6
"Polonia";"Giambellino (49)";26
"Polonia";"Porta Genova (50)";14
"Polonia";"Porta Magenta (51)";26
"Polonia";"Bande Nere (52)";47
"Polonia";"Lorenteggio (53)";7
"Polonia";"Muggiano (54)";1
"Polonia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";18
"Polonia";"Forze Armate (56)";22
"Polonia";"San Siro (57)";13
"Polonia";"De Angeli - Monte Rosa (58)";21
"Polonia";"Tre Torri (59)";5
"Polonia";"Stadio - Ippodromi (60)";12
"Polonia";"Quarto Cagnino (61)";10
"Polonia";"Quinto Romano (62)";1
"Polonia";"Figino (63)";3
"Polonia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";27
"Polonia";"Portello (67)";10
"Polonia";"Pagano (68)";21
"Polonia";"Sarpi (69)";30
"Polonia";"Ghisolfa (70)";32
"Polonia";"Villapizzone - Cagnola - Boldinasco (71)";34
"Polonia";"Maggiore - Musocco - Certosa (72)";8
"Polonia";"Cascina Merlata (73)";3
"Polonia";"Quarto Oggiaro - Vialba - Musocco (76)";12
"Polonia";"Bovisa (77)";17
"Polonia";"Farini (78)";12
"Polonia";"Dergano (79)";26
"Polonia";"Affori (80)";9
"Polonia";"Bovisasca (81)";1
"Polonia";"Comasina (82)";5
"Polonia";"Bruzzano (83)";12
"Portogallo";"Duomo (1)";25
"Portogallo";"Brera (2)";27
"Portogallo";"Guastalla (4)";21
"Portogallo";"Porta Vigentina - Porta Lodovica (5)";9
"Portogallo";"Porta Ticinese - Conca del Naviglio (6)";16
"Portogallo";"Magenta - S.Vittore (7)";13
"Portogallo";"Porta Garibaldi - Porta Nuova (9)";8
"Portogallo";"Stazione Centrale - Ponte Seveso (10)";20
"Portogallo";"Isola (11)";29
"Portogallo";"Maciachini - Maggiolina (12)";14
"Portogallo";"Greco - Segnano (13)";5
"Portogallo";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";11
"Portogallo";"Bicocca (15)";3
"Portogallo";"Gorla - Precotto (16)";9
"Portogallo";"Adriano (17)";5
"Portogallo";"Cimiano - Rottole - Q.re Feltre (18)";5
"Portogallo";"Padova - Turro - Crescenzago (19)";10
"Portogallo";"Loreto - Casoretto - NoLo (20)";22
"Portogallo";"Buenos Aires - Porta Venezia - Porta Monforte (21)";34
"Portogallo";"Citta' studi (22)";17
"Portogallo";"Lambrate - Ortica (23)";3
"Portogallo";"Parco Forlanini - Cavriano (24)";1
"Portogallo";"Corsica (25)";9
"Portogallo";"XXII Marzo (26)";30
"Portogallo";"Pta Romana (27)";9
"Portogallo";"Umbria - Molise - Calvairate (28)";14
"Portogallo";"Ortomercato (29)";4
"Portogallo";"Taliedo - Morsenchio - Q.re Forlanini (30)";5
"Portogallo";"Triulzo Superiore (32)";1
"Portogallo";"Rogoredo - Santa Giulia (33)";6
"Portogallo";"Lodi - Corvetto (35)";10
"Portogallo";"Scalo Romana (36)";6
"Portogallo";"Morivione (37)";6
"Portogallo";"Vigentino - Q.re Fatima (38)";4
"Portogallo";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2
"Portogallo";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";11
"Portogallo";"Tibaldi (43)";5
"Portogallo";"Porta Ticinese - Conchetta (44)";6
"Portogallo";"Moncucco - San Cristoforo (45)";6
"Portogallo";"Barona (46)";12
"Portogallo";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";3
"Portogallo";"Giambellino (49)";15
"Portogallo";"Porta Genova (50)";11
"Portogallo";"Porta Magenta (51)";26
"Portogallo";"Bande Nere (52)";15
"Portogallo";"Lorenteggio (53)";5
"Portogallo";"Muggiano (54)";1
"Portogallo";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";5
"Portogallo";"Forze Armate (56)";2
"Portogallo";"San Siro (57)";7
"Portogallo";"De Angeli - Monte Rosa (58)";17
