"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2005";128
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2006";130
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2007";120
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2008";123
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2009";102
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2010";115
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2011";87
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2012";104
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2013";95
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2014";98
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2015";110
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2016";92
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2017";90
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2018";99
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2019";112
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2020";100
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2021";106
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2022";102
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2023";106
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2003";238
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2004";235
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2005";277
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2006";264
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2007";269
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2008";290
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2009";287
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2010";300
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2011";250
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2012";285
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2013";272
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2014";276
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2015";270
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2016";263
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2017";258
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2018";220
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2019";228
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2020";221
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2021";199
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2022";210
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"2023";171
"Tibaldi (43)";"2003";107
