tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA MISSAGLIA (DEI);131/13;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.17685683001;45.4064682202;45.4064682202, 9.17685683001
VIA MISSAGLIA (DEI);131/15;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.17657122414;45.4064771677;45.4064771677, 9.17657122414
VIA MISSAGLIA (DEI);131;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.17686211031;45.4060852886;45.4060852886, 9.17686211031
VIA CHIODI CESARE;5;5345;20142;6;48;RONCHETTO S/N;9.14082630678;45.438201197;45.438201197, 9.14082630678
VIA BOFFALORA;40;5359;20142;5;42;STADERA;9.16230524531;45.4257632761;45.4257632761, 9.16230524531
VIA BARDOLINO;31;5360;20142;6;86;Parco dei Navigli;9.14094340038;45.4253519023;45.4253519023, 9.14094340038
VIA BARDOLINO;33;5360;20142;6;86;Parco dei Navigli;9.14311354056;45.4236188508;45.4236188508, 9.14311354056
VIA BARDOLINO;90;5360;20142;6;86;Parco dei Navigli;9.13567188417;45.4204658546;45.4204658546, 9.13567188417
VIA VALPOLICELLA;4;5361;20142;6;86;Parco dei Navigli;9.13903665522;45.4283211488;45.4283211488, 9.13903665522
VIA BUCCINASCO;44;5362;20142;6;86;Parco dei Navigli;9.13167949347;45.4240132808;45.4240132808, 9.13167949347
VIA BUCCINASCO;45;5362;20142;6;86;Parco dei Navigli;9.12645362335;45.4311557344;45.4311557344, 9.12645362335
VIA BUCCINASCO;48;5362;20142;6;86;Parco dei Navigli;9.12711988853;45.4298895138;45.4298895138, 9.12711988853
VIA BUCCINASCO;50;5362;20142;6;86;Parco dei Navigli;9.13025562152;45.4305263723;45.4305263723, 9.13025562152
VIA BUCCINASCO;59;5362;20142;6;86;Parco dei Navigli;9.13188145989;45.4307634541;45.4307634541, 9.13188145989
VIA MERULA GIORGIO;66;5363;20142;6;48;RONCHETTO S/N;9.13244382323;45.4349787448;45.4349787448, 9.13244382323
VIA TRE CASTELLI;51;5364;20142;6;48;RONCHETTO S/N;9.13618545191;45.435497084;45.435497084, 9.13618545191
VIA TRE CASTELLI;55;5364;20142;6;48;RONCHETTO S/N;9.13456709291;45.4356916476;45.4356916476, 9.13456709291
VIA GIORDANI PIETRO;21;5377;20147;6;49;GIAMBELLINO;9.12385498229;45.4407962383;45.4407962383, 9.12385498229
VIA MANDURIA;4;5400;20142;5;85;Parco delle Abbazie;9.19423315456;45.4183618254;45.4183618254, 9.19423315456
VIA MANDURIA;69;5400;20142;5;85;Parco delle Abbazie;9.19094349973;45.4069528113;45.4069528113, 9.19094349973
VIA MARCHETTO (SAN);3;5406;20142;6;86;Parco dei Navigli;9.13995265294;45.4216929431;45.4216929431, 9.13995265294
VIA MARCHETTO (SAN);11;5406;20142;6;86;Parco dei Navigli;9.14307293132;45.4207170134;45.4207170134, 9.14307293132
VIA MARCHETTO (SAN);19;5406;20142;6;86;Parco dei Navigli;9.1453072678;45.4182243584;45.4182243584, 9.1453072678
VIA MARCHETTO (SAN);20;5406;20142;6;86;Parco dei Navigli;9.14519293113;45.418354033;45.418354033, 9.14519293113
VIA MARCHETTO (SAN);21;5406;20142;6;86;Parco dei Navigli;9.14542696203;45.4180842478;45.4180842478, 9.14542696203
VIA MARCHETTO (SAN);32;5406;20142;6;86;Parco dei Navigli;9.14779514839;45.4149530219;45.4149530219, 9.14779514839
VIA GATTINARA;62;5427;20142;5;86;Parco dei Navigli;9.15536881491;45.4170810973;45.4170810973, 9.15536881491
VIA GATTINARA;64;5427;20142;5;86;Parco dei Navigli;9.15507864829;45.4172895242;45.4172895242, 9.15507864829
