id_amat;stato;via_id;via_tipo;via_nome;num_civico;municipio;veicoli;tipo_man;nmanufatti;stalli_man;stalli_totali;ubicazione;LONG_X_4326;LAT_Y_4326;Location
"2271";Esistente;"7515";Via;Via Antonio Cechov;"33";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"9";"2";"18";Marciapiede;9.11454365391461;45.4951415506281;"(45.4951415506281, 9.11454365391461)"
"2272";Esistente;"7515";Via;Via Antonio Cechov;"33";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"9";"2";"18";Marciapiede;9.11474247135088;45.4954308898786;"(45.4954308898786, 9.11474247135088)"
"2273";Esistente;"6441";Piazza;Piazza Santa Maria Nascente;"30";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"10";"2";"20";Marciapiede;9.13367343570763;45.4870158748057;"(45.4870158748057, 9.13367343570763)"
"2274";Esistente;"6441";Piazza;Piazza Santa Maria Nascente;"30";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"5";"2";"10";Marciapiede;9.13651065661893;45.4864406009319;"(45.4864406009319, 9.13651065661893)"
"2276";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"15";"8";Velocipedi;0_Solo segnaletica;"1";"26";"26";Marciapiede;9.14187148036365;45.4803567932307;"(45.4803567932307, 9.14187148036365)"
"2277";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"15";"8";Velocipedi;Archetto Milano _ Acciaio inox _ Passo cm 80;"26";"2";"52";Marciapiede;9.1418807469455;45.4803624811531;"(45.4803624811531, 9.1418807469455)"
"2280";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"15";"8";Velocipedi;0_Non precisato;"2";"8";"16";Marciapiede;9.14237488662499;45.4806466421069;"(45.4806466421069, 9.14237488662499)"
"2281";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"2";"8";Velocipedi;Verona;"1";"6";"6";Area pedonale (regolamentata o di fatto);9.14365031983908;45.479735436102;"(45.479735436102, 9.14365031983908)"
"2282";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"2";"8";Velocipedi;Verona;"1";"6";"6";Area pedonale (regolamentata o di fatto);9.14367385271001;45.4793999565477;"(45.4793999565477, 9.14367385271001)"
"2285";Esistente;"6539";Piazzale;Piazzale Lorenzo Lotto;"2";"8";Velocipedi;Verona;"1";"6";"6";Marciapiede;9.14364939243639;45.4790731809919;"(45.4790731809919, 9.14364939243639)"
"2286";Esistente;"6466";Via;Via Giovanni Cimabue;"24";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"11";"2";"22";Area verde – Giardino – Parco;9.13695616692144;45.4895199925536;"(45.4895199925536, 9.13695616692144)"
"2287";Esistente;"335";Piazza;Piazza Velasca;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"7";"7";Area pedonale (regolamentata o di fatto);9.19070088631931;45.460257988942;"(45.460257988942, 9.19070088631931)"
"2288";Esistente;"335";Piazza;Piazza Velasca;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"4";"2";"8";Marciapiede;9.19070077544045;45.4602581411102;"(45.4602581411102, 9.19070077544045)"
"2289";Esistente;"335";Piazza;Piazza Velasca;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"6";"6";Marciapiede;9.19057306518951;45.4602513611724;"(45.4602513611724, 9.19057306518951)"
"2291";Esistente;"335";Piazza;Piazza Velasca;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Marciapiede;9.19053318833238;45.4602770566668;"(45.4602770566668, 9.19053318833238)"
"2292";Esistente;"335";Piazza;Piazza Velasca;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"1";"2";"2";Marciapiede;9.19053546539668;45.4602793189935;"(45.4602793189935, 9.19053546539668)"
