"NIL (Nuclei di Identità Locale)";"Numero di residenti";"Abitazioni"
"Comasina (82)";"4 residenti";492,331252157688
"Comasina (82)";"5 o più residenti";214,732711613178
"Bruzzano (83)";"1 residente";1771,45573306084
"Bruzzano (83)";"2 residenti";1552,18008458614
"Bruzzano (83)";"3 residenti";907,57448643446
"Bruzzano (83)";"4 residenti";605,22837549448
"Bruzzano (83)";"5 o più residenti";217,316704511642
"Parco Nord (84)";"1 residente";8,53280329704285
"Parco Nord (84)";"2 residenti";8,90461397171021
"Parco Nord (84)";"3 residenti";4,90831911563873
"Parco Nord (84)";"4 residenti";14,8219795227051
"Parco delle Abbazie (85)";"1 residente";46,574319422245
"Parco delle Abbazie (85)";"2 residenti";35,9582359790802
"Parco delle Abbazie (85)";"3 residenti";10,5821030139923
"Parco delle Abbazie (85)";"4 residenti";6,94349610805511
"Parco delle Abbazie (85)";"5 o più residenti";7,90933924913406
"Parco dei Navigli (86)";"1 residente";49,189515709877
"Parco dei Navigli (86)";"2 residenti";21,4113838076591
"Parco dei Navigli (86)";"3 residenti";24,3168526887894
"Parco dei Navigli (86)";"4 residenti";15,1251626014709
"Parco dei Navigli (86)";"5 o più residenti";10,6555687785149
"Assiano (87)";"1 residente";29,9714026451111
"Assiano (87)";"2 residenti";19,9115264415741
"Assiano (87)";"3 residenti";16,9287821054459
"Assiano (87)";"4 residenti";6,94256538152695
"Assiano (87)";"5 o più residenti";8,96625792980194
"Parco Bosco in citta' (88)";"1 residente";85,6435324549675
"Parco Bosco in citta' (88)";"2 residenti";54,3442183732986
"Parco Bosco in citta' (88)";"3 residenti";20,7032543420792
"Parco Bosco in citta' (88)";"4 residenti";17,0488440394402
"Parco Bosco in citta' (88)";"5 o più residenti";4,98815166950226
